trip_id,customer_id,promo_id,redeemed_date,promo_cost
TRIP0127414,CUST02994,PROMO0039,2024-08-22,11.43
TRIP0035608,CUST00841,PROMO0013,2024-10-28,4.25
TRIP0096698,CUST02284,PROMO0014,2025-11-09,7.77
TRIP0015932,CUST00372,PROMO0004,2025-02-21,8.74
TRIP0002065,CUST00052,PROMO0014,2024-04-11,6.01
TRIP0007408,CUST00178,PROMO0010,2026-11-05,16.89
TRIP0048066,CUST01136,PROMO0027,2023-05-04,14.06
TRIP0012182,CUST00286,PROMO0028,2025-02-12,12.48
TRIP0126192,CUST02966,PROMO0036,2024-07-13,7.88
TRIP0102131,CUST02411,PROMO0038,2025-05-21,8.57
TRIP0058909,CUST01396,PROMO0005,2024-09-27,12.62
TRIP0028843,CUST00682,PROMO0036,2024-11-09,11.77
TRIP0119207,CUST02809,PROMO0034,2027-08-20,17.73
TRIP0121629,CUST02864,PROMO0004,2024-10-03,10.77
TRIP0035492,CUST00838,PROMO0008,2026-02-07,14.68
TRIP0107992,CUST02548,PROMO0015,2027-06-16,11.0
TRIP0001530,CUST00039,PROMO0021,2024-12-12,5.69
TRIP0025914,CUST00617,PROMO0019,2026-09-05,22.22
TRIP0077900,CUST01852,PROMO0014,2025-11-21,6.6
TRIP0028087,CUST00665,PROMO0016,2025-05-07,19.18
TRIP0124633,CUST02930,PROMO0005,2025-09-01,12.79
TRIP0002365,CUST00060,PROMO0015,2025-04-12,17.87
TRIP0077399,CUST01840,PROMO0004,2025-11-13,12.64
TRIP0052098,CUST01228,PROMO0016,2024-12-04,15.99
TRIP0030227,CUST00713,PROMO0032,2025-09-28,16.56
TRIP0113827,CUST02685,PROMO0025,2026-06-20,16.34
TRIP0118204,CUST02787,PROMO0018,2026-07-26,13.18
TRIP0100121,CUST02363,PROMO0030,2026-10-31,13.5
TRIP0041784,CUST00986,PROMO0015,2026-01-10,11.52
TRIP0074164,CUST01765,PROMO0021,2025-03-11,9.92
TRIP0111015,CUST02619,PROMO0019,2025-09-08,16.93
TRIP0020501,CUST00484,PROMO0019,2027-03-24,12.36
TRIP0064874,CUST01542,PROMO0032,2023-06-15,20.11
TRIP0021300,CUST00506,PROMO0034,2026-10-01,17.26
TRIP0116617,CUST02752,PROMO0030,2026-04-12,8.47
TRIP0104897,CUST02473,PROMO0012,2025-11-07,17.53
TRIP0051328,CUST01211,PROMO0031,2026-03-23,11.44
TRIP0080669,CUST01913,PROMO0003,2027-03-16,27.44
TRIP0026074,CUST00620,PROMO0035,2025-08-02,28.03
TRIP0087785,CUST02081,PROMO0026,2025-10-15,9.79
TRIP0049453,CUST01168,PROMO0034,2025-12-02,9.04
TRIP0119330,CUST02811,PROMO0019,2025-02-27,20.8
TRIP0065766,CUST01567,PROMO0033,2026-09-24,29.17
TRIP0096358,CUST02276,PROMO0038,2026-12-28,8.62
TRIP0020111,CUST00474,PROMO0018,2026-06-04,13.73
TRIP0104585,CUST02465,PROMO0025,2026-07-23,12.64
TRIP0074541,CUST01774,PROMO0036,2024-05-23,8.66
TRIP0058588,CUST01387,PROMO0035,2027-05-17,29.08
TRIP0009637,CUST00227,PROMO0019,2027-12-01,22.4
TRIP0074613,CUST01775,PROMO0029,2024-03-06,22.27
TRIP0044590,CUST01054,PROMO0013,2023-07-26,4.2
TRIP0116655,CUST02754,PROMO0020,2024-12-16,8.62
TRIP0047943,CUST01133,PROMO0013,2024-06-28,5.51
TRIP0057356,CUST01357,PROMO0006,2025-05-19,20.34
TRIP0108590,CUST02560,PROMO0024,2025-08-25,4.39
TRIP0096032,CUST02269,PROMO0009,2026-09-15,12.13
TRIP0110189,CUST02600,PROMO0009,2025-07-09,9.71
TRIP0113162,CUST02671,PROMO0034,2026-11-04,12.07
TRIP0091592,CUST02166,PROMO0007,2023-11-12,17.29
TRIP0016038,CUST00374,PROMO0031,2025-10-02,20.33
TRIP0000287,CUST00007,PROMO0014,2026-03-26,6.64
TRIP0111575,CUST02633,PROMO0023,2024-10-26,7.84
TRIP0098722,CUST02329,PROMO0010,2027-06-19,12.64
TRIP0117029,CUST02761,PROMO0029,2025-08-23,21.31
TRIP0099217,CUST02343,PROMO0001,2024-10-15,5.28
TRIP0037996,CUST00894,PROMO0003,2026-10-21,19.3
TRIP0105408,CUST02486,PROMO0009,2025-05-11,10.7
TRIP0027540,CUST00653,PROMO0038,2026-10-16,9.27
TRIP0053977,CUST01271,PROMO0038,2027-04-28,12.05
TRIP0067226,CUST01600,PROMO0029,2024-06-03,12.6
TRIP0125772,CUST02955,PROMO0021,2024-11-22,6.41
TRIP0085831,CUST02036,PROMO0027,2026-05-20,21.6
TRIP0124560,CUST02929,PROMO0019,2026-07-20,22.79
TRIP0031931,CUST00756,PROMO0020,2023-10-31,6.75
TRIP0011907,CUST00279,PROMO0035,2025-09-22,28.49
TRIP0089299,CUST02113,PROMO0030,2027-08-05,9.53
TRIP0062358,CUST01479,PROMO0017,2024-01-17,16.22
TRIP0038331,CUST00903,PROMO0026,2023-06-26,10.22
TRIP0066937,CUST01592,PROMO0022,2025-01-12,8.2
TRIP0111819,CUST02638,PROMO0007,2026-11-11,13.0
TRIP0088902,CUST02104,PROMO0004,2024-07-13,13.01
TRIP0021485,CUST00511,PROMO0020,2026-03-04,4.53
TRIP0009504,CUST00224,PROMO0001,2025-12-08,7.02
TRIP0116478,CUST02748,PROMO0013,2025-04-25,4.84
TRIP0071550,CUST01701,PROMO0014,2027-07-14,6.39
TRIP0108443,CUST02557,PROMO0024,2025-07-02,6.85
TRIP0022415,CUST00529,PROMO0028,2025-05-06,9.17
TRIP0099954,CUST02360,PROMO0016,2025-04-29,15.89
TRIP0098195,CUST02318,PROMO0038,2026-08-05,12.19
TRIP0025705,CUST00611,PROMO0025,2024-05-23,16.8
TRIP0047130,CUST01112,PROMO0030,2025-10-10,13.01
TRIP0068002,CUST01619,PROMO0014,2025-09-16,8.1
TRIP0119909,CUST02824,PROMO0015,2026-05-03,9.35
TRIP0013466,CUST00318,PROMO0005,2025-12-28,13.95
TRIP0054533,CUST01285,PROMO0031,2026-12-31,21.99
TRIP0086932,CUST02061,PROMO0011,2024-10-22,6.96
TRIP0041909,CUST00989,PROMO0012,2026-04-18,19.0
TRIP0003829,CUST00091,PROMO0022,2023-08-24,9.2
TRIP0013963,CUST00329,PROMO0022,2025-10-31,6.59
TRIP0061553,CUST01462,PROMO0035,2025-06-09,17.79
TRIP0119651,CUST02819,PROMO0024,2026-05-14,7.72
TRIP0053232,CUST01252,PROMO0031,2026-06-21,13.03
TRIP0081178,CUST01923,PROMO0014,2025-09-25,9.63
TRIP0125481,CUST02949,PROMO0026,2026-08-06,6.02
TRIP0096920,CUST02290,PROMO0038,2027-01-20,6.41
TRIP0052721,CUST01241,PROMO0004,2023-01-30,14.72
TRIP0127024,CUST02986,PROMO0025,2025-12-05,10.56
TRIP0075978,CUST01806,PROMO0021,2027-03-10,9.01
TRIP0031539,CUST00746,PROMO0010,2025-03-30,8.21
TRIP0025977,CUST00618,PROMO0005,2026-12-22,10.61
TRIP0083950,CUST01990,PROMO0021,2024-10-27,8.85
TRIP0111364,CUST02628,PROMO0024,2025-01-13,8.13
TRIP0056816,CUST01345,PROMO0002,2026-01-23,18.8
TRIP0025154,CUST00598,PROMO0036,2024-08-19,8.57
TRIP0023937,CUST00566,PROMO0030,2025-02-20,13.98
TRIP0027559,CUST00653,PROMO0006,2025-07-12,14.56
TRIP0038603,CUST00908,PROMO0022,2025-05-23,6.47
TRIP0064297,CUST01527,PROMO0032,2026-10-27,27.95
TRIP0120460,CUST02839,PROMO0015,2024-01-06,9.41
TRIP0093254,CUST02202,PROMO0008,2025-02-07,11.83
TRIP0124801,CUST02934,PROMO0038,2025-09-27,10.17
TRIP0010797,CUST00254,PROMO0029,2023-05-12,12.66
TRIP0000059,CUST00000,PROMO0028,2024-12-18,10.36
TRIP0005398,CUST00132,PROMO0032,2026-01-22,24.7
TRIP0032048,CUST00759,PROMO0007,2025-05-30,15.53
TRIP0011193,CUST00263,PROMO0036,2024-10-26,9.44
TRIP0077557,CUST01843,PROMO0036,2025-05-31,9.0
TRIP0084788,CUST02009,PROMO0018,2024-06-07,6.96
TRIP0035574,CUST00840,PROMO0003,2027-12-25,26.36
TRIP0028243,CUST00668,PROMO0019,2025-09-19,15.48
TRIP0057731,CUST01364,PROMO0037,2025-06-07,19.85
TRIP0110697,CUST02611,PROMO0038,2026-12-16,10.26
TRIP0107946,CUST02547,PROMO0004,2024-02-14,9.03
TRIP0107129,CUST02527,PROMO0011,2026-11-01,9.16
TRIP0078301,CUST01862,PROMO0019,2025-01-15,11.22
TRIP0011647,CUST00272,PROMO0000,2023-08-24,5.83
TRIP0087451,CUST02073,PROMO0013,2024-05-30,3.8
TRIP0065133,CUST01549,PROMO0038,2027-04-22,6.65
TRIP0101085,CUST02385,PROMO0025,2024-05-21,19.74
TRIP0041893,CUST00989,PROMO0017,2025-08-05,25.28
TRIP0100105,CUST02363,PROMO0003,2026-03-14,24.99
TRIP0115535,CUST02725,PROMO0010,2024-08-22,12.74
TRIP0097095,CUST02293,PROMO0009,2024-11-21,6.75
TRIP0016469,CUST00388,PROMO0005,2025-08-29,21.21
TRIP0051045,CUST01205,PROMO0029,2025-08-27,14.73
TRIP0006775,CUST00164,PROMO0015,2025-09-05,18.43
TRIP0112479,CUST02653,PROMO0009,2024-04-12,11.5
TRIP0059817,CUST01420,PROMO0004,2027-07-25,11.99
TRIP0094327,CUST02227,PROMO0018,2025-06-27,10.05
TRIP0066869,CUST01591,PROMO0037,2027-02-04,27.82
TRIP0108491,CUST02559,PROMO0033,2026-08-18,15.87
TRIP0095080,CUST02247,PROMO0038,2025-07-03,7.55
TRIP0034891,CUST00824,PROMO0030,2025-10-30,10.73
TRIP0062137,CUST01474,PROMO0031,2027-08-26,16.43
TRIP0025563,CUST00607,PROMO0005,2025-07-20,12.63
TRIP0085702,CUST02033,PROMO0006,2024-07-27,21.26
TRIP0076688,CUST01822,PROMO0010,2026-06-24,12.28
TRIP0039022,CUST00920,PROMO0029,2025-08-17,10.47
TRIP0120108,CUST02829,PROMO0005,2023-08-25,19.8
TRIP0011167,CUST00262,PROMO0029,2024-09-13,15.31
TRIP0125665,CUST02954,PROMO0024,2025-06-18,6.72
TRIP0125119,CUST02942,PROMO0021,2025-08-07,9.55
TRIP0025061,CUST00596,PROMO0037,2027-07-19,22.62
TRIP0087393,CUST02072,PROMO0003,2027-01-15,21.62
TRIP0085104,CUST02017,PROMO0005,2024-10-11,12.96
TRIP0105858,CUST02498,PROMO0035,2024-11-23,26.08
TRIP0094677,CUST02237,PROMO0014,2024-08-26,9.15
TRIP0123000,CUST02892,PROMO0007,2025-02-06,19.44
TRIP0035632,CUST00841,PROMO0038,2026-03-06,11.4
TRIP0126849,CUST02983,PROMO0030,2026-03-06,8.01
TRIP0096935,CUST02290,PROMO0010,2027-08-05,12.21
TRIP0003232,CUST00078,PROMO0016,2026-01-24,12.65
TRIP0009034,CUST00214,PROMO0037,2026-05-13,19.19
TRIP0102376,CUST02416,PROMO0010,2026-11-10,8.17
TRIP0125045,CUST02940,PROMO0007,2025-08-16,9.51
TRIP0064945,CUST01544,PROMO0012,2023-11-04,20.14
TRIP0013245,CUST00312,PROMO0033,2027-10-01,23.64
TRIP0038763,CUST00912,PROMO0030,2026-10-26,13.54
TRIP0011440,CUST00268,PROMO0001,2024-08-13,4.98
TRIP0067619,CUST01611,PROMO0009,2027-08-15,6.27
TRIP0007402,CUST00177,PROMO0032,2026-01-12,14.16
TRIP0018641,CUST00437,PROMO0005,2025-09-17,21.72
TRIP0019997,CUST00471,PROMO0007,2024-08-14,9.77
TRIP0029189,CUST00690,PROMO0000,2027-05-05,5.16
TRIP0104512,CUST02464,PROMO0012,2027-11-30,17.88
TRIP0029131,CUST00688,PROMO0009,2025-10-18,8.67
TRIP0064894,CUST01542,PROMO0023,2023-08-17,5.81
TRIP0065350,CUST01555,PROMO0021,2025-10-17,7.45
TRIP0016373,CUST00386,PROMO0027,2025-09-06,20.42
TRIP0053204,CUST01252,PROMO0007,2026-03-01,9.97
TRIP0064035,CUST01521,PROMO0010,2024-11-27,12.63
TRIP0063434,CUST01506,PROMO0026,2026-12-25,8.73
TRIP0088190,CUST02090,PROMO0025,2023-04-04,20.29
TRIP0104376,CUST02461,PROMO0005,2024-04-01,13.58
TRIP0078555,CUST01866,PROMO0009,2025-07-11,13.06
TRIP0001790,CUST00045,PROMO0028,2025-05-31,7.23
TRIP0043375,CUST01024,PROMO0029,2025-12-30,16.82
TRIP0097698,CUST02306,PROMO0005,2024-08-02,13.86
TRIP0007530,CUST00181,PROMO0030,2026-12-15,7.21
TRIP0108720,CUST02563,PROMO0035,2024-02-27,30.04
TRIP0026727,CUST00634,PROMO0029,2023-08-27,18.1
TRIP0097069,CUST02293,PROMO0003,2025-02-12,25.5
TRIP0056766,CUST01344,PROMO0034,2025-07-11,18.8
TRIP0076905,CUST01829,PROMO0035,2024-07-20,18.17
TRIP0033484,CUST00792,PROMO0020,2027-08-24,8.98
TRIP0107081,CUST02526,PROMO0018,2026-04-16,8.87
TRIP0099665,CUST02354,PROMO0006,2025-03-24,21.36
TRIP0125009,CUST02939,PROMO0004,2025-10-29,12.68
TRIP0126797,CUST02982,PROMO0024,2025-11-25,8.44
TRIP0000957,CUST00024,PROMO0029,2026-02-05,11.23
TRIP0091301,CUST02160,PROMO0016,2026-05-18,19.69
TRIP0085868,CUST02037,PROMO0038,2024-07-27,8.85
TRIP0055569,CUST01317,PROMO0001,2028-01-29,5.38
TRIP0069098,CUST01643,PROMO0016,2026-02-15,14.97
TRIP0026208,CUST00622,PROMO0024,2024-11-28,6.24
TRIP0020473,CUST00483,PROMO0037,2027-01-17,16.75
TRIP0102488,CUST02418,PROMO0010,2026-10-12,12.86
TRIP0065067,CUST01547,PROMO0012,2023-09-08,21.74
TRIP0006471,CUST00155,PROMO0002,2023-06-16,20.63
TRIP0009929,CUST00232,PROMO0012,2026-05-29,20.3
TRIP0025371,CUST00602,PROMO0029,2026-09-01,11.7
TRIP0054869,CUST01296,PROMO0023,2026-08-16,6.03
TRIP0067708,CUST01613,PROMO0020,2024-08-26,6.68
TRIP0016499,CUST00389,PROMO0021,2026-09-08,8.26
TRIP0020511,CUST00484,PROMO0016,2025-09-15,15.6
TRIP0066799,CUST01590,PROMO0038,2025-01-14,12.03
TRIP0002302,CUST00058,PROMO0025,2025-03-14,14.88
TRIP0058119,CUST01375,PROMO0014,2026-05-22,9.7
TRIP0049661,CUST01173,PROMO0026,2024-05-06,6.12
TRIP0109239,CUST02576,PROMO0038,2026-09-11,5.66
TRIP0086838,CUST02060,PROMO0019,2027-09-01,13.53
TRIP0110424,CUST02605,PROMO0021,2024-08-05,9.82
TRIP0014099,CUST00333,PROMO0029,2025-06-10,21.52
TRIP0010105,CUST00237,PROMO0020,2025-06-27,5.4
TRIP0051867,CUST01223,PROMO0029,2026-12-17,17.9
TRIP0125592,CUST02952,PROMO0035,2025-07-31,23.18
TRIP0096233,CUST02273,PROMO0034,2027-10-24,16.12
TRIP0107411,CUST02535,PROMO0039,2024-10-30,17.62
TRIP0038726,CUST00911,PROMO0034,2025-10-02,19.48
TRIP0127473,CUST02996,PROMO0017,2023-12-28,19.01
TRIP0044016,CUST01039,PROMO0011,2025-03-18,12.11
TRIP0054356,CUST01281,PROMO0023,2027-03-13,8.47
TRIP0005715,CUST00140,PROMO0003,2024-06-13,25.44
TRIP0050856,CUST01201,PROMO0019,2026-04-25,18.78
TRIP0067404,CUST01605,PROMO0011,2025-12-23,9.66
TRIP0094604,CUST02236,PROMO0028,2024-10-14,7.17
TRIP0104740,CUST02469,PROMO0002,2027-01-17,30.59
TRIP0109414,CUST02581,PROMO0034,2025-02-14,13.79
TRIP0067363,CUST01604,PROMO0021,2024-09-30,8.24
TRIP0070410,CUST01676,PROMO0006,2026-11-17,22.35
TRIP0038574,CUST00907,PROMO0012,2025-03-21,11.9
TRIP0007604,CUST00182,PROMO0007,2024-02-08,9.96
TRIP0018622,CUST00437,PROMO0038,2024-01-30,8.19
TRIP0053098,CUST01249,PROMO0031,2026-02-25,14.67
TRIP0104778,CUST02470,PROMO0006,2025-12-14,21.89
TRIP0016479,CUST00389,PROMO0010,2027-04-24,8.81
TRIP0115442,CUST02722,PROMO0016,2026-10-09,12.7
TRIP0019232,CUST00453,PROMO0013,2024-09-08,4.15
TRIP0077831,CUST01850,PROMO0019,2025-04-19,14.23
TRIP0110395,CUST02604,PROMO0015,2025-10-01,13.58
TRIP0114602,CUST02704,PROMO0012,2025-05-12,12.03
TRIP0089829,CUST02126,PROMO0028,2025-07-04,11.07
TRIP0119934,CUST02825,PROMO0034,2025-12-20,15.4
TRIP0049459,CUST01168,PROMO0009,2024-05-08,7.18
TRIP0058219,CUST01378,PROMO0033,2026-07-04,29.48
TRIP0111347,CUST02627,PROMO0006,2025-07-16,13.36
TRIP0006553,CUST00157,PROMO0023,2027-03-09,4.14
TRIP0011726,CUST00274,PROMO0027,2023-08-16,13.98
TRIP0063541,CUST01508,PROMO0033,2027-01-02,20.37
TRIP0084875,CUST02012,PROMO0000,2024-12-05,3.81
TRIP0056791,CUST01345,PROMO0016,2024-06-18,18.24
TRIP0101452,CUST02393,PROMO0014,2023-09-01,9.01
TRIP0044120,CUST01042,PROMO0017,2024-09-27,22.17
TRIP0019516,CUST00459,PROMO0016,2026-06-10,15.44
TRIP0029524,CUST00698,PROMO0017,2024-03-13,12.75
TRIP0102926,CUST02429,PROMO0001,2024-09-23,6.79
TRIP0069554,CUST01655,PROMO0035,2025-09-05,18.56
TRIP0114806,CUST02708,PROMO0037,2023-09-27,26.07
TRIP0068572,CUST01632,PROMO0031,2025-08-13,14.52
TRIP0089071,CUST02108,PROMO0022,2023-12-04,10.47
TRIP0061867,CUST01468,PROMO0033,2024-07-31,29.11
TRIP0110715,CUST02612,PROMO0009,2025-01-04,11.82
TRIP0065825,CUST01568,PROMO0038,2025-08-23,7.57
TRIP0017708,CUST00418,PROMO0001,2023-02-09,9.81
TRIP0048290,CUST01142,PROMO0029,2026-09-10,13.61
TRIP0013074,CUST00308,PROMO0011,2027-07-26,10.02
TRIP0124689,CUST02931,PROMO0003,2023-11-29,19.69
TRIP0068907,CUST01638,PROMO0017,2026-07-21,23.88
TRIP0028505,CUST00674,PROMO0020,2025-09-27,6.79
TRIP0124188,CUST02921,PROMO0035,2024-06-14,18.15
TRIP0047716,CUST01128,PROMO0028,2025-10-29,8.09
TRIP0121758,CUST02866,PROMO0025,2026-06-08,16.38
TRIP0004698,CUST00114,PROMO0003,2024-02-24,20.41
TRIP0004416,CUST00107,PROMO0001,2025-11-25,5.45
TRIP0065768,CUST01567,PROMO0017,2027-07-31,23.14
TRIP0004685,CUST00114,PROMO0019,2023-03-15,22.37
TRIP0065403,CUST01556,PROMO0031,2025-04-18,16.06
TRIP0011403,CUST00267,PROMO0035,2025-06-03,23.14
TRIP0065769,CUST01567,PROMO0022,2025-12-14,10.69
TRIP0025030,CUST00595,PROMO0026,2027-03-07,9.19
TRIP0005744,CUST00140,PROMO0022,2025-08-31,13.45
TRIP0019508,CUST00458,PROMO0000,2025-01-08,4.54
TRIP0039210,CUST00924,PROMO0001,2024-12-12,9.45
TRIP0051425,CUST01213,PROMO0039,2024-09-14,14.64
TRIP0102833,CUST02426,PROMO0030,2024-07-26,7.89
TRIP0101836,CUST02405,PROMO0014,2024-01-14,9.4
TRIP0127191,CUST02988,PROMO0029,2025-08-23,22.19
TRIP0018351,CUST00431,PROMO0023,2025-12-31,8.55
TRIP0001101,CUST00029,PROMO0026,2025-12-20,5.1
TRIP0092174,CUST02178,PROMO0023,2025-09-23,8.83
TRIP0054063,CUST01274,PROMO0001,2024-07-25,7.52
TRIP0116703,CUST02755,PROMO0032,2026-06-08,15.43
TRIP0074238,CUST01766,PROMO0024,2025-11-13,9.07
TRIP0027815,CUST00660,PROMO0029,2025-08-21,20.64
TRIP0070612,CUST01680,PROMO0027,2027-02-27,23.96
TRIP0064049,CUST01521,PROMO0014,2025-11-11,9.18
TRIP0034508,CUST00815,PROMO0004,2027-04-27,11.55
TRIP0101352,CUST02392,PROMO0029,2025-10-21,13.88
TRIP0038780,CUST00913,PROMO0005,2027-06-10,13.09
TRIP0074835,CUST01779,PROMO0021,2024-03-25,8.55
TRIP0001824,CUST00047,PROMO0031,2024-02-23,13.73
TRIP0099657,CUST02353,PROMO0023,2026-05-29,8.62
TRIP0117592,CUST02774,PROMO0035,2025-06-28,28.1
TRIP0077227,CUST01836,PROMO0021,2025-04-19,5.57
TRIP0044757,CUST01057,PROMO0022,2025-05-23,8.86
TRIP0112864,CUST02663,PROMO0024,2026-07-22,5.35
TRIP0055039,CUST01302,PROMO0017,2026-11-19,19.5
TRIP0109327,CUST02578,PROMO0000,2024-11-15,4.13
TRIP0040266,CUST00951,PROMO0011,2024-07-03,6.16
TRIP0087490,CUST02074,PROMO0014,2024-02-21,5.09
TRIP0029835,CUST00705,PROMO0033,2026-03-21,16.5
TRIP0126698,CUST02980,PROMO0034,2027-09-24,9.18
TRIP0035780,CUST00844,PROMO0025,2024-06-10,20.09
TRIP0045526,CUST01076,PROMO0026,2025-01-21,8.23
TRIP0063559,CUST01509,PROMO0034,2024-09-09,17.05
TRIP0117313,CUST02767,PROMO0015,2025-10-19,11.9
TRIP0016644,CUST00393,PROMO0005,2026-07-18,10.46
TRIP0091747,CUST02169,PROMO0000,2027-01-16,6.55
TRIP0030896,CUST00729,PROMO0010,2025-08-03,11.0
TRIP0024956,CUST00593,PROMO0036,2027-02-22,8.64
TRIP0124391,CUST02925,PROMO0024,2024-04-12,8.67
TRIP0023827,CUST00563,PROMO0035,2027-03-19,14.48
TRIP0093995,CUST02220,PROMO0011,2024-02-23,11.5
TRIP0115205,CUST02716,PROMO0032,2025-10-24,28.92
TRIP0015845,CUST00370,PROMO0011,2025-10-17,7.33
TRIP0039355,CUST00928,PROMO0007,2027-06-05,19.03
TRIP0030497,CUST00720,PROMO0005,2026-06-19,10.34
TRIP0095886,CUST02266,PROMO0003,2025-06-03,13.35
TRIP0029880,CUST00706,PROMO0023,2023-03-14,6.94
TRIP0050164,CUST01185,PROMO0029,2025-12-20,11.22
TRIP0099909,CUST02359,PROMO0039,2024-07-11,20.94
TRIP0120615,CUST02843,PROMO0019,2024-08-31,16.77
TRIP0116739,CUST02755,PROMO0026,2025-10-14,5.88
TRIP0006804,CUST00164,PROMO0008,2025-01-28,14.6
TRIP0029879,CUST00706,PROMO0013,2023-04-28,3.38
TRIP0109885,CUST02591,PROMO0035,2023-08-02,18.18
TRIP0037877,CUST00891,PROMO0027,2025-11-29,14.67
TRIP0049409,CUST01167,PROMO0029,2024-12-15,20.67
TRIP0106084,CUST02504,PROMO0030,2025-12-26,10.91
TRIP0087417,CUST02073,PROMO0019,2023-09-14,21.18
TRIP0030340,CUST00716,PROMO0002,2026-06-02,17.72
TRIP0110106,CUST02597,PROMO0006,2026-11-21,25.38
TRIP0055022,CUST01301,PROMO0039,2024-09-13,23.73
TRIP0021508,CUST00511,PROMO0001,2025-10-24,9.41
TRIP0037283,CUST00877,PROMO0026,2024-12-10,5.97
TRIP0080611,CUST01911,PROMO0009,2024-10-30,11.47
TRIP0003846,CUST00091,PROMO0022,2024-06-12,7.26
TRIP0096881,CUST02289,PROMO0002,2025-10-18,28.4
TRIP0020275,CUST00478,PROMO0020,2026-06-12,6.64
TRIP0026633,CUST00631,PROMO0011,2026-07-31,8.82
TRIP0120440,CUST02838,PROMO0026,2027-01-29,10.08
TRIP0040197,CUST00950,PROMO0010,2026-09-18,13.68
TRIP0106262,CUST02508,PROMO0001,2024-05-07,4.97
TRIP0032082,CUST00759,PROMO0036,2026-04-07,11.58
TRIP0043181,CUST01020,PROMO0008,2026-07-16,16.28
TRIP0119624,CUST02819,PROMO0013,2026-05-08,5.77
TRIP0081300,CUST01926,PROMO0015,2024-07-09,13.03
TRIP0004361,CUST00105,PROMO0024,2027-03-26,7.23
TRIP0088473,CUST02095,PROMO0010,2024-09-11,10.28
TRIP0071461,CUST01697,PROMO0033,2026-03-02,26.57
TRIP0027555,CUST00653,PROMO0006,2027-05-17,22.16
TRIP0118838,CUST02802,PROMO0019,2025-10-26,17.93
TRIP0114376,CUST02698,PROMO0023,2027-03-16,8.48
TRIP0020729,CUST00491,PROMO0032,2024-12-11,27.91
TRIP0047846,CUST01130,PROMO0016,2026-02-04,14.06
TRIP0116281,CUST02741,PROMO0018,2026-08-15,8.92
TRIP0011273,CUST00264,PROMO0023,2024-08-07,8.69
TRIP0012139,CUST00284,PROMO0012,2027-07-05,14.29
TRIP0106696,CUST02517,PROMO0016,2026-08-12,16.35
TRIP0025982,CUST00618,PROMO0007,2026-08-23,18.09
TRIP0040417,CUST00954,PROMO0013,2024-03-08,3.05
TRIP0032739,CUST00775,PROMO0026,2026-07-26,5.59
TRIP0019016,CUST00449,PROMO0016,2026-11-08,23.72
TRIP0088347,CUST02093,PROMO0023,2025-01-28,4.82
TRIP0036732,CUST00865,PROMO0027,2027-07-06,23.75
TRIP0034026,CUST00804,PROMO0027,2026-01-25,11.87
TRIP0056620,CUST01341,PROMO0000,2026-08-13,7.25
TRIP0106190,CUST02506,PROMO0021,2027-10-02,5.52
TRIP0025601,CUST00607,PROMO0012,2025-11-02,19.52
